country_name,country_code,Year,Renewables (% electricity),Urban population (% of total population),Total water withdrawal per capita,undernourishment_prevalence,Arable land (% of land area),Arable land (hectares per person),Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)",Deaths - Unsafe water source,Gender wage gap (%),Population,"Health expenditure, total (% of GDP)",Human Development Index - undp_hdi,population below poverty line
Egypt,EGY,2017,9.048671,42.705,963.2,4.7,2.924274,0.030183,40.525028,9274.977054,3.340291,0,102334403,5.642115,0.680997,2.966474
EquatorialGuinea,GNQ,2017,33.986488,71.646,30.65,3.1,4.278075,0.095087,24.994162,36685.34335,25.253427,0,1402985,3.804079,0.590802,12.73759541
Estonia,EST,2017,13.943829,68.717,1022,3.1,15.73499,0.519211,34.999112,31121.11976,0.036192,0,1326539,6.379294,0.837598,0.268706
Ethiopia,ETH,2017,99.971387,20.31,78.96,19.9,14.141046,0.150087,21.379039,1008.135323,72.989173,0,114963583,4.884313,0.411653,24.66075
Fiji,FJI,2017,53.613588,55.742,100.2,3.9,9.031199,0.188043,30.536859,10573.61689,10.082281,0,896444,4.487499,0.716899,0.211745
Finland,FIN,2017,46.893611,85.325,447.6,3.1,7.376941,0.407028,48.68212,48664.26571,0.008232,0,5540718,9.679909,0.878046,0.065778
France,FRA,2017,16.655343,80.18,538.8,3.1,33.721361,0.275925,55.31333,43127.21286,0.033989,0,65273512,11.53952,0.880909,0.013626
Gabon,GAB,2017,42.636027,88.976,93.33,15.9,1.261303,0.157399,21.235921,15334.72354,24.061718,0,2225728,3.437472,0.663219,3.385241
Gambia,GMB,2017,1.012741,60.599,69.19,12,43.478261,0.198744,22.033943,2137.857133,36.331107,0,2416664,7.340401,0.441006,10.10833
Georgia,GEO,2017,81.43285,58.231,682.5,7.1,4.662541,0.08691,29.000676,9109.897741,0.235327,0,3989175,7.416659,0.734886,4.97611
Germany,DEU,2017,33.415651,77.261,479.2,3.1,33.694937,0.14242,46.33598,47031.21379,0.050712,0,83783945,11.297001,0.906467,0
Ghana,GHA,2017,51.49301,55.407,49.63,7,20.655709,0.161393,24.98532,3259.169903,29.225941,0,31072945,3.557292,0.553548,12.34434
Greece,GRC,2017,25.006943,78.724,840.9,3.1,16.586501,0.198797,52.40806,37687.43334,0.00333,0,10423056,8.084267,0.866494,0.887074
Guinea,GIN,2017,49.738872,35.793,60.71,3.1,12.615986,0.256888,17.16831,1856.26109,52.336827,0,13132792,5.644798,0.387507,24.33018
Guinea-Bissau,GNB,2017,2.631579,42.945,127.6,3.1,10.668563,0.164101,27.414844,1688.813687,93.819157,0,1967998,5.593137,0.412627,64.21171
Haiti,HTI,2017,12.685051,54.346,682.5,48.3,38.824383,0.097429,16.66352,2734.741354,25.857676,0,11402533,7.555654,0.47058,20.55367
Honduras,HND,2017,61.743445,56.457,682.5,13.8,9.116096,0.108177,26.803794,4914.323743,11.652747,0,9904608,8.72268,0.609888,15.43528
Hungary,HUN,2017,10.614883,71.062,562.5,3.1,47.370151,0.441665,54.77571,25477.94929,0.299438,0,9660350,7.400781,0.821484,0.591939
Iceland,ISL,2017,99.990024,93.773,575.1,3.1,1.206983,0.352359,44.86263,52827.01012,0.022172,0,341250,8.859166,0.892084,0
India,IND,2017,17.410775,33.6,559.9,14.2,52.608814,0.116844,31.25603,3661.955505,67.458507,0,1380004000,4.685088,0.585646,10.55381
Indonesia,IDN,2017,13.290762,54.659,521.2,8.9,14.007848,0.099376,22.33806,7319.434386,33.153554,0,273523621,2.84686,0.664591,4.455187
Iran,IRN,2017,5.288882,74.394,1325,4.8,9.017289,0.182054,21.790298,13324.90784,0.717539,0,83992953,6.894922,0.743316,0.35591
Iraq,IRQ,2017,2.687167,70.278,2646,24,11.517341,0.133146,46.678844,7830.670682,0.884877,0,40222503,5.538873,0.644956,1.235824
Ireland,IRL,2017,28.951873,62.947,682.5,3.1,6.691828,0.095894,37.68241,60326.65416,0.014037,0,4937796,7.783197,0.908,0.243196
Israel,ISR,2017,2.721866,92.336,293.4,3.1,17.883549,0.044415,52.30432,33666.14333,0.081501,0,8655541,7.808308,0.883231,0.241395
